lat,cdf
8.60,0.00000894
8.66,0.00001789
8.78,0.00003578
8.82,0.00004472
8.85,0.00005367
8.87,0.00006261
8.94,0.00007155
9.02,0.00008050
9.19,0.00008944
9.23,0.00011628
9.24,0.00014311
9.25,0.00015205
9.26,0.00019677
9.27,0.00023255
9.28,0.00030411
9.29,0.00045616
9.30,0.00059032
9.31,0.00081393
9.32,0.00093915
9.33,0.00116276
9.34,0.00152948
9.35,0.00174414
9.36,0.00226291
9.37,0.00271907
9.38,0.00313051
9.39,0.00389077
9.40,0.00440954
9.41,0.00529503
9.42,0.00601057
9.43,0.00684239
9.44,0.00810354
9.45,0.00889064
9.46,0.01057217
9.47,0.01168126
9.48,0.01321968
9.49,0.01509798
9.50,0.01611764
9.51,0.01843421
9.52,0.02017835
9.53,0.02215504
9.54,0.02474889
9.55,0.02618892
9.56,0.02938204
9.57,0.03111723
9.58,0.03346958
9.59,0.03654643
9.60,0.03838001
9.61,0.04185934
9.62,0.04444425
9.63,0.04739587
9.64,0.05116142
9.65,0.05362110
9.66,0.05786965
9.67,0.06073182
9.68,0.06439004
9.69,0.06934519
9.70,0.07221631
9.71,0.07773494
9.72,0.08117850
9.73,0.08532866
9.74,0.09106196
9.75,0.09421035
9.76,0.10004204
9.77,0.10414747
9.78,0.10919206
9.79,0.11574824
9.80,0.11937962
9.81,0.12620413
9.82,0.13064050
9.83,0.13570298
9.84,0.14308203
9.85,0.14708013
9.86,0.15464701
9.87,0.15978104
9.88,0.16579162
9.89,0.17354633
9.90,0.17781276
9.91,0.18582686
9.92,0.19113083
9.93,0.19784800
9.94,0.20662236
9.95,0.21105874
9.96,0.21964527
9.97,0.22523546
9.98,0.23152330
9.99,0.24019928
10.00,0.24487715
10.01,0.25301647
10.02,0.25861560
10.03,0.26491239
10.04,0.27324848
10.05,0.27860612
10.06,0.28787242
10.07,0.29382932
10.08,0.30055544
10.09,0.30916881
10.10,0.31464272
10.11,0.32331869
10.12,0.32904305
10.13,0.33623427
10.14,0.34604617
10.15,0.35086715
10.16,0.35979357
10.17,0.36598302
10.18,0.37303114
10.19,0.38244949
10.20,0.38801284
10.21,0.39759219
10.22,0.40410365
10.23,0.41162581
10.24,0.42090999
10.25,0.42689373
10.26,0.43720652
10.27,0.44383424
10.28,0.45190201
10.29,0.46193752
10.30,0.46801070
10.31,0.47892275
10.32,0.48574725
10.33,0.49334991
10.34,0.50334964
10.35,0.50922605
10.36,0.51978033
10.37,0.52683738
10.38,0.53488726
10.39,0.54514637
10.40,0.55079917
10.41,0.56088835
10.42,0.56785596
10.43,0.57541390
10.44,0.58554779
10.45,0.59116482
10.46,0.60128977
10.47,0.60801589
10.48,0.61614626
10.49,0.62620860
10.50,0.63168251
10.51,0.64147653
10.52,0.64788065
10.53,0.65522392
10.54,0.66427556
10.55,0.66983891
10.56,0.67900682
10.57,0.68525889
10.58,0.69233384
10.59,0.70108137
10.60,0.70638534
10.61,0.71510603
10.62,0.72066045
10.63,0.72733290
10.64,0.73599993
10.65,0.74085669
10.66,0.74923750
