lat,cdf
3.56,0.00000338
3.65,0.00000676
3.67,0.00001015
3.69,0.00001353
3.74,0.00001691
3.82,0.00002029
3.83,0.00002368
3.84,0.00002706
3.85,0.00003044
3.87,0.00003382
3.88,0.00003720
3.90,0.00004397
3.92,0.00005411
3.93,0.00006088
3.95,0.00007103
3.96,0.00009132
3.97,0.00013529
3.98,0.00019955
3.99,0.00024351
4.00,0.00030101
4.01,0.00039233
4.02,0.00051409
4.03,0.00068319
4.04,0.00093347
4.05,0.00133595
4.06,0.00175195
4.07,0.00223898
4.08,0.00277336
4.09,0.00367978
4.10,0.00456252
4.11,0.00586803
4.12,0.00729530
4.13,0.00908107
4.14,0.01130991
4.15,0.01345419
4.16,0.01632902
4.17,0.01905841
4.18,0.02259952
4.19,0.02613048
4.20,0.03076065
4.21,0.03581019
4.22,0.04132986
4.23,0.04708966
4.24,0.05281902
4.25,0.05927893
4.26,0.06583691
4.27,0.07320323
4.28,0.08137789
4.29,0.09067203
4.30,0.10077113
4.31,0.10961545
4.32,0.11946765
4.33,0.12895458
4.34,0.13957114
4.35,0.14981906
4.36,0.16195421
4.37,0.17462712
4.38,0.18774309
4.39,0.19995941
4.40,0.21222309
4.41,0.22552170
4.42,0.23782934
4.43,0.25168938
4.44,0.26591132
4.45,0.28197315
4.46,0.29873508
4.47,0.31299083
4.48,0.32808537
4.49,0.34246626
4.50,0.35806473
4.51,0.37255386
4.52,0.38944093
4.53,0.40678459
4.54,0.42435824
4.55,0.44038962
4.56,0.45560929
4.57,0.47119762
4.58,0.48639700
4.59,0.50228971
4.60,0.51845301
4.61,0.53597930
4.62,0.55370853
4.63,0.56864748
4.64,0.58395170
4.65,0.59900227
4.66,0.61439443
4.67,0.62871106
4.68,0.64479318
4.69,0.66035107
4.70,0.67582102
4.71,0.68916359
4.72,0.70153550
4.73,0.71462441
4.74,0.72664795
4.75,0.73940204
4.76,0.75144587
4.77,0.76460919
4.78,0.77755944
4.79,0.78857172
4.80,0.79987486
4.81,0.81010248
4.82,0.82038759
4.83,0.82994893
4.84,0.84065681
4.85,0.85078297
4.86,0.86062502
4.87,0.86935435
4.88,0.87689992
4.89,0.88480739
4.90,0.89185240
4.91,0.89886360
4.92,0.90559746
4.93,0.91298745
4.94,0.91966381
4.95,0.92493320
4.96,0.93013833
4.97,0.93480570
4.98,0.93973010
4.99,0.94394764
5.00,0.94840870
5.01,0.95257212
5.02,0.95633646
5.03,0.95960023
5.04,0.96261034
5.05,0.96559678
5.06,0.96815030
5.07,0.97072750
5.08,0.97311530
5.09,0.97540163
5.10,0.97758312
5.11,0.97936551
5.12,0.98097541
5.13,0.98240268
5.14,0.98369128
5.15,0.98479386
5.16,0.98607231
5.17,0.98718842
5.18,0.98820306
5.19,0.98909933
5.20,0.99000575
5.21,0.99072277
5.22,0.99136876
5.23,0.99202489
5.24,0.99263706
5.25,0.99312071
5.26,0.99364494
5.27,0.99405756
5.28,0.99442284
5.29,0.99470017
5.30,0.99492339
5.31,0.99516014
5.32,0.99543072
5.33,0.99560659
5.34,0.99575879
5.35,0.99595157
5.36,0.99611053
5.37,0.99627964
5.38,0.99640478
5.39,0.99650624
5.40,0.99664829
5.41,0.99677343
5.42,0.99688504
5.43,0.99693239
5.44,0.99697974
5.45,0.99701694
5.46,0.99707444
5.47,0.99713870
5.48,0.99715561
5.49,0.99717929
5.50,0.99724355
5.51,0.99727737
5.52,0.99730443
5.53,0.99732810
5.54,0.99735178
5.55,0.99739236
5.56,0.99741266
5.57,0.99744310
5.58,0.99744986
5.59,0.99747015
5.60,0.99750059
5.61,0.99751412
5.62,0.99753103
5.63,0.99754456
5.64,0.99755809
5.65,0.99757838
5.66,0.99759867
5.67,0.99762911
5.68,0.99764941
5.69,0.99766294
5.70,0.99768661
5.71,0.99769337
5.72,0.99771029
5.73,0.99773396
5.74,0.99774411
5.75,0.99776440
5.77,0.99778131
5.78,0.99779484
5.79,0.99781175
5.80,0.99782528
5.81,0.99783204
5.82,0.99783881
5.83,0.99784895
5.84,0.99787263
5.85,0.99788616
5.86,0.99789969
5.87,0.99790645
5.88,0.99792674
5.89,0.99795380
5.90,0.99798424
5.91,0.99799777
5.92,0.99800791
5.93,0.99801806
5.94,0.99804512
5.95,0.99805865
5.96,0.99807556
5.97,0.99809247
5.98,0.99810261
5.99,0.99811614
6.00,0.99815335
6.01,0.99817026
6.02,0.99820070
6.03,0.99821423
6.04,0.99823114
6.05,0.99823790
6.06,0.99826496
6.07,0.99828187
6.08,0.99829540
6.09,0.99831569
6.10,0.99833598
6.12,0.99834275
6.13,0.99835628
6.14,0.99836980
6.15,0.99837657
6.16,0.99839010
6.17,0.99841715
6.18,0.99842730
6.19,0.99845436
6.20,0.99847127
6.21,0.99849494
6.22,0.99851185
6.23,0.99852200
6.24,0.99853553
6.25,0.99855582
6.26,0.99856935
6.27,0.99859979
6.28,0.99862008
6.29,0.99862685
6.30,0.99864038
6.31,0.99865390
6.32,0.99866743
6.33,0.99867758
6.34,0.99870464
6.35,0.99873169
6.36,0.99874184
6.37,0.99876552
6.38,0.99878919
6.39,0.99879934
6.40,0.99881963
6.41,0.99882639
6.42,0.99883316
6.43,0.99885007
6.44,0.99887374
6.45,0.99889066
6.46,0.99890757
6.47,0.99892109
6.48,0.99893124
6.49,0.99895153
6.50,0.99897183
6.51,0.99898197
6.52,0.99898874
6.53,0.99901241
6.54,0.99902256
6.55,0.99902932
6.56,0.99904623
6.57,0.99906314
6.58,0.99907329
6.59,0.99908006
6.60,0.99909697
6.61,0.99911726
6.62,0.99914093
6.63,0.99914770
6.64,0.99917137
6.65,0.99918828
6.66,0.99920181
6.67,0.99920519
6.68,0.99921534
6.69,0.99924240
6.70,0.99927622
6.71,0.99929313
6.72,0.99930328
6.73,0.99932357
6.74,0.99933033
6.75,0.99934386
6.76,0.99936077
6.77,0.99937430
6.78,0.99938783
6.79,0.99939121
6.80,0.99939798
6.81,0.99940812
6.82,0.99941827
6.83,0.99944195
6.84,0.99945547
6.85,0.99947915
6.86,0.99949268
6.87,0.99949944
6.88,0.99950621
6.89,0.99951635
6.90,0.99951973
6.91,0.99953326
6.92,0.99955017
6.93,0.99955356
6.94,0.99955694
6.95,0.99956708
6.96,0.99957047
6.98,0.99958061
6.99,0.99958400
7.01,0.99958738
7.02,0.99959414
7.03,0.99960091
7.04,0.99961782
7.05,0.99962120
7.06,0.99963811
7.07,0.99964487
7.09,0.99964826
7.10,0.99965502
7.11,0.99966179
7.12,0.99966517
7.14,0.99966855
7.15,0.99967531
7.16,0.99968208
7.17,0.99968546
7.18,0.99968884
7.19,0.99969561
7.20,0.99970237
7.21,0.99970575
7.23,0.99971252
7.25,0.99971590
7.26,0.99972266
7.27,0.99972943
7.28,0.99973281
7.30,0.99973619
7.35,0.99973957
7.37,0.99974296
7.48,0.99974634
7.51,0.99974972
7.65,0.99975310
7.71,0.99975649
7.77,0.99975987
7.85,0.99976325
7.87,0.99976663
