lat,cdf
5.33,0.00000287
5.39,0.00000574
5.42,0.00000862
5.47,0.00001149
5.48,0.00001723
5.50,0.00002297
5.51,0.00003446
5.52,0.00004595
5.53,0.00006031
5.54,0.00006318
5.55,0.00006892
5.56,0.00008902
5.57,0.00013497
5.58,0.00017518
5.59,0.00020676
5.60,0.00023261
5.61,0.00026133
5.62,0.00029292
5.63,0.00035609
5.64,0.00038481
5.65,0.00043363
5.66,0.00049968
5.67,0.00053701
5.68,0.00060593
5.69,0.00066050
5.70,0.00075526
5.71,0.00084141
5.72,0.00095341
5.73,0.00108551
5.74,0.00122048
5.75,0.00134109
5.76,0.00143299
5.77,0.00157083
5.78,0.00173452
5.79,0.00187236
5.80,0.00207913
5.81,0.00230025
5.82,0.00250127
5.83,0.00269942
5.84,0.00293203
5.85,0.00313305
5.86,0.00340012
5.87,0.00365858
5.88,0.00395436
5.89,0.00430758
5.90,0.00464645
5.91,0.00497670
5.92,0.00529833
5.93,0.00562571
5.94,0.00597893
5.95,0.00638097
5.96,0.00682609
5.97,0.00732289
5.98,0.00779673
5.99,0.00821600
6.00,0.00870132
6.01,0.00921823
6.02,0.00982416
6.03,0.01046456
6.04,0.01110782
6.05,0.01198370
6.06,0.01279927
6.07,0.01347700
6.08,0.01416908
6.09,0.01501050
6.10,0.01578299
6.11,0.01662728
6.12,0.01751177
6.13,0.01861738
6.14,0.01977468
6.15,0.02077404
6.16,0.02195432
6.17,0.02312886
6.18,0.02448718
6.19,0.02574787
6.20,0.02720670
6.21,0.02872010
6.22,0.03031391
6.23,0.03174403
6.24,0.03351588
6.25,0.03511256
6.26,0.03684708
6.27,0.03858447
6.28,0.04053437
6.29,0.04276857
6.30,0.04510328
6.31,0.04706754
6.32,0.04935056
6.33,0.05158189
6.34,0.05406593
6.35,0.05660166
6.36,0.05928385
6.37,0.06245710
6.38,0.06560164
6.39,0.06855090
6.40,0.07163226
6.41,0.07492325
6.42,0.07804482
6.43,0.08155693
6.44,0.08516095
6.45,0.08927612
6.46,0.09363540
6.47,0.09747777
6.48,0.10137757
6.49,0.10550423
6.50,0.10985489
6.51,0.11398156
6.52,0.11880892
6.53,0.12394644
6.54,0.12925338
6.55,0.13430761
6.56,0.13933600
6.57,0.14480376
6.58,0.14978620
6.59,0.15523673
6.60,0.16083659
6.61,0.16730945
6.62,0.17386847
6.63,0.18000821
6.64,0.18611637
6.65,0.19235375
6.66,0.19869164
6.67,0.20494051
6.68,0.21199346
6.69,0.21960640
6.70,0.22731985
6.71,0.23495863
6.72,0.24185651
6.73,0.24944073
6.74,0.25669758
6.75,0.26447995
6.76,0.27242026
6.77,0.28171028
6.78,0.29098595
6.79,0.29863909
6.80,0.30701016
6.81,0.31554492
6.82,0.32430368
6.83,0.33248522
6.84,0.34211985
6.85,0.35195550
6.86,0.36178541
6.87,0.37090887
6.88,0.37950681
6.89,0.38866473
6.90,0.39766759
6.91,0.40700643
6.92,0.41660947
6.93,0.42700798
6.94,0.43782576
6.95,0.44661611
6.96,0.45606982
6.97,0.46541728
6.98,0.47473027
6.99,0.48379917
7.00,0.49370088
7.01,0.50422574
7.02,0.51462712
7.03,0.52425314
7.04,0.53334214
7.05,0.54304282
7.06,0.55207439
7.07,0.56155969
7.08,0.57123453
7.09,0.58212984
7.10,0.59253122
7.11,0.60148526
7.12,0.61074656
7.13,0.61926696
7.14,0.62848519
7.15,0.63734159
7.16,0.64694176
7.17,0.65691812
7.18,0.66653552
7.19,0.67511623
7.20,0.68325470
7.21,0.69174925
7.22,0.69984751
7.23,0.70804915
7.24,0.71690555
7.25,0.72605198
7.26,0.73483946
7.27,0.74240070
7.28,0.74999928
7.29,0.75750309
7.30,0.76485471
7.31,0.77190479
7.32,0.77939424
7.33,0.78711917
7.34,0.79457991
7.35,0.80140600
7.36,0.80783291
7.37,0.81423111
7.38,0.82028183
7.39,0.82643306
7.40,0.83251250
7.41,0.83873265
7.42,0.84520839
7.43,0.85074220
7.44,0.85592853
7.45,0.86116655
7.46,0.86610879
7.47,0.87095913
7.48,0.87616843
7.49,0.88144953
7.50,0.88621085
7.51,0.89047536
7.52,0.89463935
7.53,0.89848746
7.54,0.90240162
7.55,0.90609466
7.56,0.90991118
7.57,0.91385118
7.58,0.91762463
7.59,0.92064568
7.60,0.92378160
7.61,0.92671076
7.62,0.92981222
7.63,0.93253461
7.64,0.93548961
7.65,0.93831826
7.66,0.94115840
7.67,0.94355054
7.68,0.94583356
7.69,0.94811084
7.70,0.95009807
7.71,0.95209966
7.72,0.95422761
7.73,0.95628663
7.74,0.95829110
7.75,0.95987341
7.76,0.96146148
7.77,0.96296052
7.78,0.96447966
7.79,0.96573173
7.80,0.96707282
7.81,0.96841966
7.82,0.96969184
7.83,0.97084340
7.84,0.97186573
7.85,0.97279617
7.86,0.97370650
7.87,0.97457664
7.88,0.97538933
7.89,0.97630254
7.90,0.97707791
7.91,0.97774702
7.92,0.97833572
7.93,0.97891294
7.94,0.97945857
7.95,0.98001568
7.96,0.98056131
7.97,0.98100068
7.98,0.98152621
7.99,0.98194548
8.00,0.98232742
8.01,0.98273520
8.02,0.98309704
8.03,0.98338995
8.04,0.98368287
8.05,0.98395281
8.06,0.98420840
8.07,0.98442665
8.08,0.98463915
8.09,0.98486315
8.10,0.98502684
8.11,0.98519627
8.12,0.98536283
8.13,0.98553800
8.14,0.98569595
8.15,0.98579359
8.16,0.98592281
8.17,0.98606066
8.18,0.98618414
8.19,0.98626742
8.20,0.98636219
8.21,0.98643972
8.22,0.98655746
8.23,0.98664649
8.24,0.98670679
8.25,0.98676710
8.26,0.98684464
8.27,0.98689633
8.28,0.98696238
8.29,0.98701981
8.30,0.98708299
8.31,0.98714617
8.32,0.98719212
8.33,0.98725242
8.34,0.98728975
8.35,0.98732134
8.36,0.98735006
8.37,0.98739888
8.38,0.98743334
8.39,0.98749365
8.40,0.98755970
8.41,0.98760277
8.42,0.98762575
8.43,0.98766882
8.44,0.98772913
8.45,0.98776933
8.46,0.98782389
8.47,0.98787846
8.48,0.98792440
8.49,0.98796174
8.50,0.98800194
8.51,0.98802204
8.52,0.98806225
8.53,0.98810820
8.54,0.98817137
8.55,0.98821158
8.56,0.98824029
8.57,0.98827475
8.58,0.98832070
8.59,0.98835516
8.60,0.98839824
8.61,0.98844419
8.62,0.98848726
8.63,0.98854183
8.64,0.98859639
8.65,0.98866244
8.66,0.98870264
8.67,0.98875146
8.68,0.98880602
8.69,0.98888356
8.70,0.98895823
8.71,0.98899269
8.72,0.98903002
8.73,0.98908458
8.74,0.98912191
8.75,0.98916786
