lat,cdf
3.43,0.00000411
3.45,0.00000821
3.68,0.00002053
3.71,0.00002464
3.78,0.00002874
3.79,0.00003285
3.81,0.00003695
3.82,0.00004106
3.84,0.00004516
3.85,0.00005338
3.89,0.00006159
3.90,0.00006569
3.91,0.00007391
3.92,0.00007801
3.93,0.00009033
3.94,0.00009854
3.95,0.00010675
3.96,0.00012728
3.97,0.00016424
3.98,0.00020529
3.99,0.00025457
4.00,0.00034079
4.01,0.00043933
4.02,0.00054198
4.03,0.00078423
4.04,0.00099363
4.05,0.00135495
4.06,0.00190924
4.07,0.00243480
4.08,0.00319028
4.09,0.00394577
4.10,0.00498867
4.11,0.00614243
4.12,0.00788743
4.13,0.01012515
4.14,0.01251889
4.15,0.01556957
4.16,0.01826304
4.17,0.02160935
4.18,0.02503777
4.19,0.02965281
4.20,0.03451419
4.21,0.04068946
4.22,0.04752989
4.23,0.05332742
4.24,0.06077142
4.25,0.06743529
4.26,0.07615212
4.27,0.08380551
4.28,0.09386907
4.29,0.10380124
4.30,0.11394281
4.31,0.12477418
4.32,0.13459549
4.33,0.14649028
4.34,0.15701780
4.35,0.16973788
4.36,0.18187902
4.37,0.19571180
4.38,0.21077634
4.39,0.22287643
4.40,0.23788760
4.41,0.25054608
4.42,0.26633737
4.43,0.27925864
4.44,0.29612567
4.45,0.31309536
4.46,0.32942862
4.47,0.34590560
4.48,0.36001757
4.49,0.37702421
4.50,0.39118956
4.51,0.40854930
4.52,0.42477171
4.53,0.44252973
4.54,0.46165090
4.55,0.47649373
4.56,0.49397665
4.57,0.50878662
4.58,0.52578094
4.59,0.54055807
4.60,0.55906747
4.61,0.57653807
4.62,0.59346669
4.63,0.61023519
4.64,0.62362863
4.65,0.63915304
4.66,0.65263681
4.67,0.66819406
4.68,0.68239226
4.69,0.69748144
4.70,0.71294015
4.71,0.72485958
4.72,0.73794508
4.73,0.74917471
4.74,0.76262153
4.75,0.77339541
4.76,0.78648913
4.77,0.79832644
4.78,0.80976547
4.79,0.82055577
4.80,0.82968319
4.81,0.83968105
4.82,0.84789696
4.83,0.85722556
4.84,0.86548663
4.85,0.87428968
4.86,0.88311736
4.87,0.88914482
4.88,0.89621518
4.89,0.90222211
4.90,0.90884903
4.91,0.91406763
4.92,0.92012383
4.93,0.92595011
4.94,0.93112764
4.95,0.93617379
4.96,0.94027969
4.97,0.94485367
4.98,0.94857361
4.99,0.95244137
5.00,0.95603814
5.01,0.95972113
5.02,0.96332200
5.03,0.96578554
5.04,0.96843385
5.05,0.97060587
5.06,0.97308583
5.07,0.97500739
5.08,0.97726153
5.09,0.97905581
5.10,0.98077618
5.11,0.98227483
5.12,0.98350250
5.13,0.98488208
5.14,0.98584696
5.15,0.98688165
5.16,0.98779316
5.17,0.98869646
5.18,0.98965313
5.19,0.99027312
5.20,0.99090133
5.21,0.99140225
5.22,0.99192780
5.23,0.99236713
5.24,0.99285984
5.25,0.99318421
5.26,0.99351268
5.27,0.99384936
5.28,0.99409572
5.29,0.99439134
5.30,0.99462948
5.31,0.99487173
5.32,0.99504007
5.33,0.99532338
5.34,0.99555742
5.35,0.99569291
5.36,0.99583251
5.37,0.99599675
5.38,0.99609118
5.39,0.99615688
5.40,0.99625953
5.41,0.99635807
5.42,0.99642787
5.43,0.99649767
5.44,0.99654283
5.45,0.99659621
5.46,0.99663316
5.47,0.99666601
5.48,0.99676045
5.49,0.99679740
5.50,0.99683025
5.51,0.99686309
5.52,0.99689183
5.53,0.99690415
