lat,cdf
2.791,0.00000391
3.287,0.00000781
3.520,0.00001172
3.705,0.00001563
3.719,0.00001953
3.731,0.00002344
3.732,0.00002735
3.747,0.00003125
3.751,0.00003516
3.782,0.00004297
3.795,0.00004688
3.808,0.00005860
3.814,0.00006251
3.846,0.00006642
3.860,0.00007032
3.869,0.00007423
3.872,0.00007814
3.891,0.00008204
3.897,0.00008595
3.900,0.00008986
3.901,0.00009376
3.914,0.00009767
3.917,0.00010158
3.920,0.00010548
3.929,0.00010939
3.932,0.00011330
3.936,0.00012502
3.949,0.00012892
3.952,0.00013283
3.959,0.00014064
3.961,0.00014455
3.968,0.00015236
3.978,0.00015627
3.980,0.00016018
3.981,0.00018362
3.988,0.00019143
3.991,0.00020315
3.993,0.00020706
3.994,0.00022269
3.996,0.00022659
4.000,0.00024613
4.003,0.00025003
4.006,0.00026566
4.007,0.00027347
4.009,0.00028910
4.010,0.00030082
4.012,0.00030473
4.013,0.00033989
4.016,0.00036724
4.019,0.00041412
4.022,0.00043365
4.023,0.00044146
4.025,0.00046491
4.026,0.00049616
4.028,0.00050397
4.029,0.00053132
4.032,0.00060946
4.035,0.00066415
4.036,0.00066806
4.038,0.00073447
4.039,0.00075791
4.041,0.00078917
4.042,0.00079307
4.044,0.00081651
4.045,0.00092590
4.048,0.00097279
4.051,0.00109390
4.052,0.00112124
4.054,0.00114468
4.055,0.00117594
4.057,0.00123454
4.058,0.00129705
4.060,0.00130877
4.061,0.00137518
4.064,0.00155880
4.067,0.00161740
4.068,0.00163694
4.070,0.00175023
4.071,0.00183227
4.073,0.00188697
4.074,0.00192604
4.076,0.00197683
4.077,0.00219560
4.080,0.00228546
4.083,0.00246517
4.084,0.00252768
4.086,0.00260581
4.087,0.00263316
4.089,0.00277381
4.090,0.00290664
4.092,0.00291836
4.093,0.00307072
4.096,0.00340280
4.099,0.00348093
4.100,0.00353563
4.102,0.00376613
4.103,0.00391068
4.105,0.00397709
4.106,0.00407085
4.108,0.00416852
4.109,0.00454748
4.112,0.00479361
4.115,0.00512959
4.116,0.00523116
4.118,0.00538353
4.119,0.00551245
4.121,0.00574686
4.122,0.00603205
4.124,0.00612581
4.125,0.00632897
4.128,0.00703609
4.131,0.00731347
4.132,0.00739551
4.134,0.00775884
4.135,0.00795809
4.137,0.00811827
4.138,0.00827844
4.140,0.00843471
4.141,0.00906370
4.144,0.00939578
4.147,0.01000133
4.148,0.01018104
4.150,0.01048186
4.151,0.01059906
4.153,0.01091161
4.154,0.01143511
4.156,0.01152497
4.157,0.01187267
4.160,0.01293140
4.163,0.01324395
4.164,0.01334552
4.166,0.01402921
4.167,0.01452537
4.169,0.01474805
4.170,0.01504887
4.172,0.01529891
4.173,0.01621309
4.176,0.01681864
4.179,0.01784221
4.180,0.01811959
4.182,0.01847120
4.183,0.01867436
4.185,0.01931116
4.186,0.02015111
4.188,0.02024878
4.189,0.02072150
4.192,0.02218654
4.195,0.02269051
4.196,0.02285850
4.198,0.02390552
4.199,0.02456186
4.201,0.02492128
4.202,0.02535493
4.204,0.02578077
4.205,0.02720283
4.208,0.02803497
4.211,0.02942188
4.212,0.02981646
4.214,0.03039857
4.215,0.03074236
4.217,0.03160967
4.218,0.03281295
4.220,0.03298485
4.221,0.03364509
4.224,0.03572740
4.227,0.03638765
4.228,0.03662205
4.230,0.03794254
4.231,0.03888798
4.233,0.03928647
4.234,0.03984514
4.236,0.04041552
4.237,0.04237282
4.240,0.04339248
4.243,0.04517397
4.244,0.04588500
4.246,0.04659213
4.247,0.04700624
4.249,0.04814702
4.250,0.04996367
4.252,0.05020198
4.253,0.05128415
4.256,0.05426502
4.259,0.05525343
4.260,0.05553081
4.262,0.05749982
4.263,0.05884375
4.265,0.05945321
4.266,0.06017987
4.268,0.06088309
4.269,0.06346546
4.272,0.06487190
4.275,0.06755585
4.276,0.06827469
4.278,0.06921232
4.279,0.06978271
4.281,0.07136104
4.282,0.07346679
4.284,0.07385747
4.285,0.07502168
4.288,0.07867451
4.291,0.08000281
4.292,0.08034661
4.294,0.08273755
4.295,0.08438230
4.297,0.08511677
4.298,0.08613644
4.300,0.08713657
4.301,0.09039872
4.304,0.09207473
4.307,0.09532907
4.308,0.09632920
4.310,0.09740356
4.311,0.09819273
4.313,0.10000938
4.314,0.10252924
4.316,0.10297461
4.317,0.10445137
4.320,0.10919419
4.323,0.11066704
