lat,cdf
0.35,0.00000453
0.39,0.00000906
0.60,0.00001359
0.97,0.00001812
1.01,0.00002264
1.16,0.00002717
1.22,0.00003170
1.38,0.00003623
1.39,0.00004076
1.43,0.00004529
1.58,0.00004982
1.59,0.00005435
1.61,0.00007246
1.63,0.00007699
1.67,0.00008605
1.70,0.00009510
1.75,0.00010416
1.76,0.00011775
1.77,0.00012228
1.78,0.00013134
1.82,0.00014039
1.83,0.00014492
1.84,0.00015398
1.85,0.00015851
1.86,0.00016304
1.87,0.00016757
1.89,0.00017209
1.91,0.00017662
1.93,0.00018115
1.98,0.00018568
1.99,0.00019021
2.00,0.00019474
2.02,0.00019927
2.03,0.00020380
2.05,0.00021738
2.06,0.00022644
2.08,0.00023097
2.09,0.00023550
2.10,0.00024456
2.13,0.00024908
2.14,0.00025814
2.15,0.00026720
2.16,0.00027173
2.17,0.00027626
2.20,0.00028531
2.21,0.00028984
2.23,0.00029437
2.24,0.00029890
2.25,0.00030343
2.29,0.00031702
2.30,0.00032154
2.31,0.00032607
2.33,0.00033060
2.34,0.00033966
2.36,0.00034872
2.39,0.00035778
2.44,0.00036230
2.45,0.00036683
2.46,0.00037136
2.47,0.00037589
2.48,0.00038495
2.50,0.00038948
2.53,0.00040306
2.54,0.00040759
2.56,0.00041212
2.57,0.00042571
2.60,0.00043476
2.64,0.00043929
2.66,0.00045288
2.68,0.00046647
2.70,0.00047552
2.72,0.00048005
2.75,0.00048458
2.76,0.00049817
2.77,0.00050723
2.79,0.00051175
2.80,0.00051628
2.83,0.00052081
2.85,0.00052987
2.86,0.00053440
2.87,0.00054346
2.89,0.00055251
2.92,0.00056157
2.93,0.00057063
2.95,0.00057516
2.96,0.00057969
2.98,0.00058422
2.99,0.00058874
3.00,0.00059780
3.01,0.00060233
3.04,0.00061139
3.06,0.00061592
3.08,0.00062497
3.10,0.00063403
3.12,0.00064762
3.14,0.00065215
3.15,0.00066120
3.16,0.00067026
3.18,0.00067479
3.20,0.00067932
3.21,0.00068385
3.22,0.00069744
3.23,0.00070196
3.24,0.00070649
3.25,0.00071102
3.28,0.00071555
3.29,0.00072008
3.30,0.00072461
3.32,0.00073367
3.33,0.00073819
3.35,0.00075178
3.36,0.00075631
3.38,0.00076537
3.39,0.00076990
3.41,0.00077895
3.42,0.00078801
3.44,0.00079707
3.45,0.00080613
3.46,0.00081971
3.48,0.00083330
3.51,0.00084236
3.52,0.00085141
3.54,0.00085594
3.55,0.00086047
3.56,0.00087406
3.57,0.00087859
3.62,0.00088312
3.66,0.00088764
3.68,0.00089217
3.70,0.00089670
3.72,0.00090123
3.74,0.00091029
3.76,0.00091935
3.77,0.00093293
3.78,0.00094199
3.79,0.00094652
3.80,0.00095558
3.83,0.00096011
3.84,0.00096463
3.87,0.00096916
3.88,0.00098728
3.89,0.00099634
3.90,0.00100539
3.91,0.00102351
3.94,0.00102804
3.95,0.00103257
3.96,0.00103710
3.97,0.00104615
3.98,0.00105068
3.99,0.00105521
4.01,0.00106427
4.02,0.00106880
4.03,0.00108238
4.04,0.00108691
4.06,0.00109144
4.07,0.00109597
4.08,0.00110050
4.09,0.00110956
4.10,0.00111861
4.12,0.00112314
4.16,0.00112767
4.17,0.00113220
4.18,0.00113673
4.19,0.00114126
4.22,0.00114579
4.25,0.00115937
4.26,0.00117749
4.27,0.00118202
4.30,0.00119107
4.31,0.00120466
4.32,0.00122278
4.33,0.00123636
4.35,0.00124089
4.36,0.00124542
4.37,0.00125448
4.38,0.00125901
4.39,0.00126354
4.40,0.00126806
4.41,0.00127259
4.45,0.00128618
4.46,0.00129071
4.47,0.00129524
4.48,0.00130429
4.49,0.00130882
4.50,0.00131335
4.53,0.00133147
4.54,0.00133600
4.55,0.00134505
4.56,0.00134958
4.57,0.00135411
4.59,0.00136317
4.61,0.00137223
4.62,0.00137676
4.63,0.00138581
4.65,0.00139034
4.68,0.00139487
4.69,0.00140846
4.70,0.00141751
4.71,0.00142204
4.72,0.00142657
4.73,0.00143563
4.74,0.00144016
4.75,0.00144469
4.76,0.00145827
4.78,0.00147186
4.80,0.00148092
4.81,0.00148545
4.82,0.00148998
4.84,0.00149450
4.85,0.00149903
4.86,0.00150809
4.87,0.00151262
4.88,0.00152621
4.89,0.00153073
4.90,0.00153979
4.91,0.00155338
4.92,0.00155791
4.93,0.00157149
4.94,0.00157602
4.95,0.00158055
4.97,0.00158508
4.98,0.00159414
5.00,0.00160772
5.02,0.00161678
5.04,0.00163037
5.06,0.00163490
5.08,0.00163943
5.10,0.00164395
5.11,0.00164848
5.12,0.00165301
5.13,0.00166207
5.18,0.00166660
5.19,0.00167113
5.20,0.00168019
5.27,0.00168924
5.28,0.00169377
5.29,0.00169830
5.32,0.00170283
5.33,0.00171189
5.36,0.00171642
5.37,0.00172094
5.38,0.00172547
5.39,0.00173453
5.40,0.00173906
5.42,0.00174359
5.43,0.00174812
5.44,0.00175265
5.45,0.00175717
5.50,0.00176170
5.52,0.00176623
5.55,0.00177076
5.59,0.00177982
5.61,0.00178435
5.68,0.00178888
5.69,0.00179341
5.70,0.00179793
5.76,0.00180246
5.80,0.00180699
5.93,0.00181152
5.95,0.00181605
6.03,0.00182058
6.06,0.00182511
6.07,0.00182964
6.09,0.00183416
6.11,0.00183869
6.17,0.00184322
6.35,0.00184775
6.36,0.00185681
6.37,0.00186134
6.39,0.00187039
6.42,0.00188398
6.43,0.00188851
6.44,0.00192021
6.45,0.00192474
6.46,0.00193833
6.47,0.00194738
6.48,0.00195191
6.49,0.00195644
6.50,0.00196550
6.51,0.00197456
6.52,0.00197909
6.53,0.00198814
6.54,0.00199720
6.55,0.00200173
6.56,0.00201079
6.57,0.00201532
6.58,0.00202890
6.59,0.00204702
6.60,0.00205155
6.61,0.00206060
6.62,0.00207419
6.64,0.00208778
6.65,0.00209231
6.66,0.00209683
6.70,0.00210136
6.71,0.00210589
6.73,0.00212401
6.74,0.00213307
6.75,0.00214212
6.76,0.00215118
6.77,0.00215571
6.78,0.00216024
6.79,0.00216930
6.80,0.00218741
6.81,0.00220553
6.82,0.00223723
6.83,0.00228252
6.84,0.00235498
6.85,0.00239574
6.86,0.00250443
6.87,0.00263576
6.88,0.00278068
6.89,0.00293466
6.90,0.00321545
6.91,0.00349623
6.92,0.00388118
6.93,0.00434312
6.94,0.00498168
6.95,0.00576969
6.96,0.00658035
6.97,0.00764914
6.98,0.00907572
6.99,0.01061551
7.00,0.01239080
7.01,0.01449669
7.02,0.01697847
7.03,0.01944214
7.04,0.02239492
7.05,0.02571453
7.06,0.02949608
7.07,0.03335462
7.08,0.03753017
7.09,0.04207256
7.10,0.04675081
7.11,0.05161474
7.12,0.05709912
7.13,0.06290504
7.14,0.06897817
7.15,0.07502864
7.16,0.08176750
7.17,0.08818934
7.18,0.09527238
7.19,0.10217428
7.20,0.10980984
7.21,0.11765825
7.22,0.12581915
7.23,0.13383512
7.24,0.14191451
7.25,0.15024297
