lat,cdf
0.29,0.00000350
0.60,0.00000700
0.62,0.00001050
0.63,0.00001400
0.64,0.00001749
0.70,0.00002099
0.72,0.00002449
0.81,0.00002799
0.82,0.00003149
0.93,0.00003849
0.97,0.00004199
1.01,0.00004548
1.03,0.00004898
1.04,0.00005598
1.07,0.00006298
1.08,0.00006648
1.09,0.00006998
1.10,0.00007697
1.13,0.00008397
1.17,0.00008747
1.19,0.00009097
1.21,0.00009797
1.23,0.00010146
1.24,0.00010846
1.26,0.00011196
1.30,0.00011546
1.31,0.00012246
1.32,0.00012596
1.33,0.00013995
1.34,0.00014345
1.35,0.00015045
1.37,0.00015744
1.38,0.00016094
1.39,0.00016444
1.40,0.00016794
1.45,0.00017144
1.46,0.00017494
1.49,0.00018543
1.50,0.00018893
1.51,0.00019593
1.53,0.00020643
1.54,0.00022042
1.55,0.00022742
1.56,0.00024141
1.58,0.00024841
1.59,0.00026241
1.61,0.00026941
1.62,0.00027290
1.63,0.00027990
1.64,0.00029390
1.65,0.00029740
1.66,0.00030789
1.67,0.00031139
1.68,0.00031839
1.69,0.00032189
1.70,0.00033588
1.72,0.00033938
1.73,0.00034988
1.74,0.00036037
1.75,0.00037437
1.76,0.00038137
1.77,0.00038486
1.78,0.00039536
1.79,0.00039886
1.80,0.00040936
1.81,0.00042335
1.83,0.00043735
1.86,0.00044084
1.87,0.00044434
1.88,0.00045484
1.89,0.00046184
1.90,0.00047233
1.91,0.00047583
1.93,0.00048283
1.94,0.00048633
1.95,0.00048983
1.96,0.00049333
1.97,0.00050032
2.01,0.00051082
2.02,0.00051782
2.03,0.00053531
2.04,0.00053881
2.06,0.00054581
2.07,0.00055281
2.10,0.00055630
2.11,0.00055980
2.12,0.00056330
2.13,0.00056680
2.16,0.00057380
2.17,0.00058080
2.18,0.00058429
2.19,0.00059129
2.20,0.00059479
2.23,0.00060179
2.24,0.00060879
2.27,0.00061228
2.29,0.00061928
2.31,0.00062628
2.33,0.00063678
2.34,0.00064027
2.35,0.00064377
2.36,0.00065427
2.37,0.00066477
2.39,0.00066826
2.41,0.00068226
2.42,0.00069276
2.43,0.00069625
2.44,0.00069975
2.45,0.00070325
2.46,0.00070675
2.47,0.00071375
2.48,0.00071725
2.49,0.00072075
2.50,0.00072424
2.51,0.00072774
2.52,0.00073824
2.53,0.00074874
2.54,0.00075223
2.55,0.00075573
2.56,0.00076973
2.57,0.00077673
2.58,0.00078722
2.60,0.00079422
2.61,0.00079772
2.63,0.00080122
2.66,0.00080822
2.67,0.00082221
2.71,0.00083621
2.72,0.00083970
2.73,0.00084320
2.75,0.00084670
2.76,0.00085020
2.77,0.00086070
2.78,0.00086769
2.79,0.00087819
2.80,0.00088869
2.81,0.00089219
2.82,0.00090268
2.83,0.00090968
2.84,0.00092018
2.86,0.00092367
2.87,0.00093067
2.88,0.00093767
2.90,0.00094817
2.91,0.00095166
2.93,0.00096216
2.94,0.00096916
2.96,0.00097616
2.97,0.00098315
2.98,0.00098665
2.99,0.00099015
3.01,0.00099365
3.02,0.00099715
3.05,0.00100764
3.06,0.00101814
3.07,0.00102164
3.09,0.00102864
3.10,0.00103214
3.11,0.00103913
3.12,0.00104613
3.13,0.00105313
3.14,0.00106363
3.15,0.00106712
3.16,0.00107412
3.18,0.00108112
3.19,0.00108812
3.20,0.00109861
3.21,0.00110211
3.22,0.00110911
3.24,0.00111611
3.25,0.00112310
3.27,0.00112660
3.29,0.00113010
3.30,0.00113360
3.33,0.00114760
3.34,0.00115109
3.35,0.00115459
3.36,0.00115809
3.37,0.00116159
3.38,0.00116509
3.41,0.00117209
3.44,0.00117908
3.46,0.00118608
3.47,0.00118958
3.48,0.00119658
3.49,0.00120008
3.51,0.00120358
3.52,0.00121057
3.54,0.00121407
3.56,0.00123157
3.58,0.00123506
3.59,0.00124556
3.60,0.00124906
3.62,0.00125606
3.64,0.00126305
3.66,0.00127005
3.67,0.00127355
3.68,0.00128755
3.70,0.00129804
3.71,0.00130854
3.72,0.00131554
3.73,0.00131904
3.75,0.00132603
3.76,0.00132953
3.77,0.00133303
3.78,0.00134003
3.79,0.00134703
3.80,0.00135752
3.81,0.00136452
3.83,0.00137152
3.84,0.00137502
3.86,0.00138201
3.87,0.00138551
3.88,0.00139601
3.89,0.00141000
3.90,0.00141700
3.91,0.00142400
3.94,0.00142750
3.95,0.00143100
3.96,0.00144149
3.97,0.00144499
3.98,0.00145549
3.99,0.00146248
4.00,0.00147648
4.01,0.00147998
4.02,0.00149047
4.03,0.00149397
4.04,0.00149747
4.05,0.00150097
4.06,0.00150447
4.07,0.00151147
4.09,0.00152196
4.10,0.00152546
4.11,0.00153246
4.12,0.00154645
4.13,0.00155345
4.14,0.00156395
4.15,0.00157095
4.16,0.00157445
4.17,0.00158144
4.18,0.00159544
4.19,0.00160593
4.20,0.00160943
4.21,0.00161643
4.23,0.00162693
4.24,0.00163392
4.25,0.00164092
4.26,0.00165142
4.27,0.00165842
4.28,0.00167241
4.29,0.00167591
4.30,0.00168990
4.31,0.00170040
