lat,cdf
3.44,0.00000450
4.03,0.00000901
4.10,0.00001802
4.13,0.00003153
4.16,0.00003603
4.17,0.00004054
4.19,0.00004504
4.22,0.00004954
4.25,0.00005405
4.26,0.00005855
4.29,0.00006306
4.30,0.00006756
4.31,0.00007206
4.32,0.00007657
4.35,0.00008107
4.37,0.00009008
4.38,0.00009909
4.42,0.00010359
4.46,0.00010809
4.47,0.00011710
4.48,0.00013512
4.49,0.00014413
4.50,0.00017115
4.51,0.00017565
4.52,0.00020268
4.53,0.00022970
4.54,0.00024321
4.55,0.00028825
4.56,0.00032428
4.57,0.00040085
4.58,0.00047742
4.59,0.00058101
4.60,0.00066658
4.61,0.00082872
4.62,0.00102239
4.63,0.00121606
4.64,0.00149080
4.65,0.00178806
4.66,0.00215288
4.67,0.00249968
4.68,0.00290954
4.69,0.00363468
4.70,0.00441836
4.71,0.00525609
4.72,0.00607581
4.73,0.00697660
4.74,0.00804403
4.75,0.00931864
4.76,0.01075540
4.77,0.01244888
4.78,0.01422343
4.79,0.01597546
4.80,0.01819590
4.81,0.02020466
4.82,0.02269083
4.83,0.02499685
4.84,0.02828472
4.85,0.03155007
4.86,0.03510818
4.87,0.03904012
4.88,0.04256670
4.89,0.04673284
4.90,0.05097105
4.91,0.05566865
4.92,0.06087070
4.93,0.06674383
4.94,0.07331057
4.95,0.07889095
4.96,0.08525051
4.97,0.09134433
4.98,0.09839750
4.99,0.10521196
5.00,0.11361630
5.01,0.12234043
5.02,0.13123570
5.03,0.13964005
5.04,0.14793630
5.05,0.15688562
5.06,0.16542959
5.07,0.17519862
5.08,0.18492262
5.09,0.19624101
5.10,0.20805934
5.11,0.21815267
5.12,0.22921884
5.13,0.23957339
5.14,0.25081972
5.15,0.26146702
5.16,0.27413660
5.17,0.28718450
5.18,0.30004774
5.19,0.31233448
5.20,0.32458519
5.21,0.33729530
5.22,0.34856865
5.23,0.36157151
5.24,0.37446178
5.25,0.38912660
5.26,0.40368782
5.27,0.41604662
5.28,0.42899995
5.29,0.44114256
5.30,0.45388419
5.31,0.46605383
5.32,0.48014665
5.33,0.49446016
5.34,0.50858901
5.35,0.52162790
5.36,0.53372998
5.37,0.54647162
5.38,0.55873133
5.39,0.57152701
5.40,0.58460194
5.41,0.59825337
5.42,0.61230115
5.43,0.62365557
5.44,0.63580269
5.45,0.64683734
5.46,0.65864215
5.47,0.66952817
5.48,0.68181941
5.49,0.69428631
5.50,0.70637037
5.51,0.71704019
5.52,0.72726863
5.53,0.73792044
5.54,0.74786063
5.55,0.75814762
5.56,0.76842110
5.57,0.77912696
5.58,0.78998144
5.59,0.79810655
5.60,0.80713243
5.61,0.81537013
5.62,0.82378799
5.63,0.83144468
5.64,0.84052462
5.65,0.84880285
5.66,0.85706758
5.67,0.86422433
