lat,cdf
0.40,0.00000504
0.53,0.00001007
0.77,0.00001511
0.85,0.00002015
0.88,0.00002518
0.89,0.00003022
1.03,0.00004029
1.06,0.00004533
1.07,0.00005037
1.09,0.00005541
1.19,0.00006044
1.21,0.00006548
1.27,0.00007052
1.29,0.00007555
1.36,0.00008059
1.38,0.00008563
1.43,0.00009066
1.47,0.00010074
1.48,0.00010577
1.54,0.00011081
1.56,0.00012088
1.58,0.00012592
1.63,0.00013096
1.65,0.00013599
1.68,0.00014103
1.69,0.00015111
1.70,0.00016118
1.71,0.00016622
1.74,0.00017125
1.81,0.00017629
1.82,0.00018133
1.84,0.00019140
1.86,0.00020651
1.87,0.00022162
1.88,0.00022666
1.89,0.00023169
1.90,0.00023673
1.91,0.00024177
1.92,0.00025184
1.94,0.00025688
1.96,0.00026192
1.99,0.00026695
2.00,0.00027703
2.01,0.00028206
2.02,0.00029214
2.05,0.00030725
2.06,0.00032236
2.07,0.00034251
2.09,0.00034754
2.10,0.00035762
2.11,0.00037273
2.12,0.00038280
2.13,0.00038784
2.14,0.00039287
2.15,0.00039791
2.17,0.00040798
2.18,0.00041302
2.19,0.00041806
2.21,0.00042813
2.23,0.00043317
2.25,0.00044324
2.26,0.00044828
2.27,0.00046339
2.28,0.00047346
2.32,0.00047850
2.33,0.00048354
2.34,0.00048857
2.36,0.00049361
2.37,0.00049865
2.38,0.00050872
2.39,0.00051376
2.40,0.00051879
2.41,0.00053391
2.42,0.00053894
2.43,0.00054398
2.44,0.00054902
2.48,0.00055405
2.49,0.00056413
2.50,0.00056916
2.51,0.00057924
2.52,0.00058931
2.53,0.00059435
2.54,0.00059938
2.55,0.00060442
2.57,0.00061953
2.58,0.00062457
2.59,0.00063968
2.60,0.00064472
2.61,0.00064975
2.63,0.00065479
2.64,0.00066486
2.65,0.00067494
2.66,0.00067997
2.67,0.00068501
2.68,0.00069005
2.69,0.00069508
2.70,0.00070012
2.71,0.00071020
2.72,0.00072531
2.73,0.00074042
2.74,0.00074545
2.76,0.00075049
2.77,0.00076056
2.78,0.00076560
2.79,0.00077064
2.80,0.00077567
2.81,0.00079582
2.82,0.00081093
2.83,0.00082101
2.84,0.00082604
2.87,0.00083612
2.89,0.00084115
2.91,0.00084619
2.93,0.00085123
2.94,0.00086130
2.95,0.00086634
2.98,0.00087137
2.99,0.00087641
3.00,0.00088145
3.01,0.00089656
3.02,0.00090663
3.04,0.00091167
3.06,0.00092174
3.08,0.00092678
3.09,0.00094189
3.10,0.00094693
3.12,0.00095196
3.14,0.00095700
3.15,0.00096204
3.17,0.00096707
3.18,0.00098218
3.22,0.00098722
3.23,0.00099730
3.27,0.00100233
3.28,0.00101241
3.30,0.00101744
3.33,0.00102248
3.34,0.00102752
3.36,0.00103255
3.38,0.00103759
3.39,0.00104766
3.43,0.00105270
3.45,0.00105774
3.46,0.00106277
3.47,0.00106781
3.48,0.00107285
3.50,0.00107788
3.51,0.00108796
3.52,0.00110811
3.54,0.00111818
3.55,0.00112825
3.57,0.00113329
3.59,0.00113833
3.60,0.00114840
3.63,0.00116351
3.65,0.00116855
3.66,0.00117358
3.67,0.00117862
3.73,0.00118366
3.75,0.00118870
3.76,0.00119877
3.78,0.00120381
3.81,0.00120884
3.82,0.00121388
3.83,0.00121892
3.85,0.00122899
3.86,0.00123403
3.87,0.00124410
3.88,0.00124914
3.89,0.00125417
3.90,0.00126425
3.91,0.00126928
3.92,0.00127432
3.94,0.00128440
3.98,0.00128943
3.99,0.00129951
4.00,0.00130454
4.01,0.00130958
4.02,0.00131462
