lat,cdf
0.35,0.00000273
0.38,0.00000546
0.40,0.00000819
0.44,0.00001093
0.47,0.00001366
0.52,0.00001639
0.71,0.00001912
0.73,0.00002458
0.76,0.00002732
0.77,0.00003005
0.78,0.00003278
0.82,0.00003551
0.83,0.00003824
0.87,0.00004097
0.89,0.00004644
0.91,0.00004917
0.92,0.00005190
0.93,0.00005463
0.95,0.00005736
1.03,0.00006283
1.05,0.00006829
1.08,0.00007375
1.09,0.00007649
1.12,0.00008195
1.13,0.00008741
1.14,0.00009014
1.15,0.00009288
1.17,0.00009561
1.19,0.00009834
1.20,0.00010380
1.22,0.00010927
1.23,0.00012019
1.26,0.00012566
1.27,0.00013112
1.28,0.00013658
1.29,0.00013931
1.30,0.00014478
1.31,0.00015297
1.32,0.00015570
1.34,0.00016117
1.35,0.00016390
1.36,0.00016936
1.37,0.00017756
1.38,0.00018575
1.39,0.00018848
1.41,0.00019668
1.42,0.00020214
1.43,0.00020487
1.44,0.00021307
1.46,0.00021853
1.47,0.00022400
1.48,0.00022946
1.49,0.00023492
1.50,0.00024039
1.51,0.00024312
1.52,0.00024585
1.54,0.00024858
1.55,0.00025131
1.56,0.00025404
1.57,0.00025678
1.58,0.00025951
1.59,0.00026224
1.61,0.00026770
1.62,0.00028956
1.63,0.00029229
1.64,0.00029775
1.65,0.00030868
1.66,0.00031960
1.67,0.00032234
1.68,0.00032507
1.69,0.00033326
1.70,0.00033599
1.71,0.00034419
1.72,0.00034692
1.73,0.00035785
1.74,0.00036877
1.75,0.00037424
1.76,0.00037970
1.77,0.00038516
1.78,0.00039063
1.83,0.00039336
1.84,0.00039609
1.85,0.00039882
1.86,0.00041794
1.87,0.00042068
1.88,0.00042341
1.89,0.00042887
1.90,0.00043707
1.91,0.00045072
1.92,0.00045619
1.95,0.00046165
1.96,0.00046711
1.97,0.00046985
1.98,0.00047258
1.99,0.00048077
2.00,0.00048897
2.01,0.00050263
2.02,0.00050809
2.03,0.00051628
2.05,0.00051902
2.06,0.00052721
2.07,0.00053267
2.08,0.00054087
2.09,0.00054633
2.10,0.00055180
2.11,0.00055726
2.12,0.00055999
2.13,0.00057092
2.14,0.00057911
2.15,0.00059004
2.16,0.00059550
2.17,0.00059823
2.18,0.00060097
2.19,0.00060370
2.20,0.00060643
2.21,0.00061736
2.22,0.00062555
2.24,0.00062828
2.25,0.00064194
2.26,0.00065014
2.27,0.00066379
2.28,0.00066653
2.29,0.00066926
2.32,0.00067745
2.33,0.00068292
2.34,0.00068565
2.35,0.00068838
2.36,0.00069657
2.37,0.00069931
2.38,0.00070750
2.39,0.00071296
2.40,0.00072662
2.41,0.00073482
2.42,0.00074028
2.43,0.00074301
2.44,0.00074574
2.45,0.00075394
2.46,0.00075940
2.47,0.00076760
2.48,0.00077033
2.49,0.00077306
2.51,0.00078126
2.53,0.00078945
2.54,0.00080311
2.55,0.00080584
2.56,0.00081404
2.58,0.00081677
2.59,0.00081950
2.60,0.00083316
2.61,0.00083589
2.62,0.00084408
2.64,0.00085501
2.65,0.00086321
2.67,0.00086867
2.68,0.00087413
2.70,0.00087686
2.71,0.00087960
2.72,0.00088506
2.74,0.00089599
2.75,0.00090145
2.76,0.00090691
2.77,0.00091238
2.78,0.00092057
2.79,0.00092603
2.81,0.00093150
2.82,0.00093423
2.83,0.00094242
2.84,0.00095062
2.85,0.00095335
2.86,0.00095608
2.87,0.00096974
2.88,0.00097520
2.89,0.00098067
2.90,0.00098340
2.91,0.00098613
2.92,0.00098886
2.94,0.00099706
2.95,0.00100252
2.96,0.00100525
2.97,0.00101072
2.98,0.00102164
2.99,0.00102984
3.00,0.00103257
3.01,0.00104350
3.02,0.00104623
3.03,0.00105442
3.05,0.00105989
3.06,0.00106262
3.07,0.00106808
3.08,0.00107081
3.09,0.00107628
3.10,0.00108174
3.11,0.00108720
3.12,0.00108993
3.15,0.00109267
3.16,0.00109540
3.18,0.00109813
3.20,0.00110359
3.21,0.00110632
3.23,0.00111179
3.25,0.00111452
3.26,0.00112271
3.27,0.00113091
3.28,0.00113364
3.29,0.00113637
3.31,0.00114184
3.32,0.00114730
3.34,0.00115276
3.35,0.00115823
3.37,0.00116096
3.40,0.00116642
3.41,0.00117188
3.42,0.00117462
3.43,0.00117735
3.44,0.00118008
3.45,0.00118554
3.46,0.00119101
3.47,0.00119920
3.48,0.00120466
3.49,0.00120740
3.50,0.00121286
3.51,0.00121559
3.52,0.00121832
3.53,0.00122105
3.55,0.00122379
3.56,0.00123471
3.58,0.00124291
3.59,0.00124837
3.60,0.00125383
3.61,0.00126203
3.62,0.00126749
3.63,0.00127296
3.64,0.00128661
3.65,0.00128935
3.66,0.00129208
3.67,0.00130574
3.68,0.00131393
3.69,0.00131666
3.70,0.00131939
3.71,0.00132213
3.72,0.00132759
3.73,0.00133852
3.74,0.00134125
3.75,0.00135491
3.76,0.00135764
3.78,0.00136583
3.79,0.00136856
3.80,0.00137949
3.81,0.00138495
3.82,0.00138769
3.83,0.00139042
3.84,0.00139861
3.85,0.00140408
3.86,0.00140681
3.87,0.00140954
3.89,0.00141773
3.90,0.00143139
3.91,0.00144505
3.92,0.00145598
3.94,0.00146144
3.95,0.00146690
3.96,0.00147510
3.97,0.00147783
3.98,0.00148876
3.99,0.00149149
4.00,0.00149968
4.01,0.00151061
4.02,0.00151607
4.03,0.00152154
4.04,0.00152700
4.05,0.00154066
4.06,0.00154612
4.07,0.00154885
4.08,0.00155159
4.09,0.00155978
4.10,0.00157071
4.11,0.00157344
4.12,0.00157617
4.13,0.00158983
4.14,0.00159529
4.15,0.00160076
4.16,0.00161168
4.17,0.00162261
4.18,0.00163354
4.19,0.00163627
4.20,0.00163900
4.21,0.00164173
4.22,0.00165812
4.23,0.00166358
4.24,0.00166632
4.25,0.00166905
4.26,0.00167997
4.27,0.00168817
4.28,0.00170183
4.29,0.00170729
4.30,0.00172095
4.31,0.00172368
4.32,0.00172914
4.33,0.00173461
4.34,0.00174007
4.35,0.00174553
4.37,0.00175100
4.38,0.00175646
4.39,0.00177012
4.40,0.00177285
4.41,0.00178105
4.42,0.00178924
4.43,0.00179470
4.44,0.00179744
4.46,0.00180290
4.47,0.00180563
4.48,0.00181383
4.49,0.00181929
4.50,0.00182202
4.53,0.00183022
4.54,0.00184114
4.55,0.00185480
4.56,0.00186573
4.57,0.00187119
4.58,0.00187665
4.61,0.00187939
4.62,0.00188212
4.63,0.00189304
4.64,0.00190124
4.65,0.00190397
4.67,0.00191217
4.69,0.00191490
4.70,0.00192036
4.71,0.00192582
4.72,0.00192856
4.73,0.00193129
4.74,0.00193402
4.75,0.00194495
4.76,0.00194768
4.77,0.00195041
4.80,0.00195587
4.82,0.00196134
4.84,0.00196680
4.86,0.00197226
4.87,0.00198046
4.90,0.00198319
4.94,0.00198592
4.95,0.00198865
4.99,0.00199138
5.05,0.00199685
5.07,0.00199958
5.10,0.00200231
5.17,0.00200504
5.21,0.00200777
5.25,0.00201051
5.26,0.00201324
5.33,0.00201597
5.34,0.00201870
5.37,0.00202416
5.38,0.00202690
5.43,0.00202963
5.45,0.00203236
5.46,0.00203509
5.47,0.00203782
5.50,0.00204055
5.55,0.00204329
5.61,0.00204602
5.68,0.00205148
5.72,0.00205421
5.73,0.00205694
5.76,0.00206241
5.80,0.00206514
5.83,0.00206787
5.86,0.00207060
5.91,0.00207333
5.95,0.00207607
5.96,0.00207880
6.04,0.00208153
6.08,0.00208972
6.10,0.00209246
6.11,0.00209792
6.15,0.00210338
6.19,0.00210885
6.21,0.00211158
6.22,0.00211431
6.24,0.00211704
6.25,0.00211977
6.32,0.00212524
6.36,0.00212797
6.37,0.00213343
6.38,0.00214163
6.39,0.00214436
6.40,0.00214982
6.41,0.00216348
6.42,0.00219626
6.43,0.00221538
6.44,0.00222904
6.45,0.00224543
6.46,0.00225362
6.47,0.00227548
6.48,0.00230006
6.49,0.00231645
6.50,0.00233284
6.51,0.00235743
6.52,0.00238748
6.53,0.00240933
6.54,0.00243391
6.55,0.00244211
6.56,0.00245577
6.57,0.00246943
6.58,0.00247762
6.59,0.00248582
6.60,0.00250494
